               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.009702,           0.0035234,          0.00075853,             0.99684,             0.99951,              0.9943,             0.94679,           0.0065039,           0.0021618,          0.00029317,            0.001882,            0.001882,            0.001882
                  84,           0.0096362,           0.0034254,          0.00070774,             0.99693,             0.99955,             0.99435,             0.94695,            0.006489,           0.0021562,          0.00028732,            0.001783,            0.001783,            0.001783
                  85,           0.0095757,           0.0035057,          0.00067703,             0.99695,             0.99957,             0.99436,              0.9475,           0.0064743,           0.0021499,          0.00028177,            0.001684,            0.001684,            0.001684
                  86,           0.0095383,           0.0034926,          0.00070285,             0.99715,             0.99951,             0.99436,             0.94777,           0.0064597,           0.0021438,          0.00027643,            0.001585,            0.001585,            0.001585
                  87,           0.0094542,           0.0034357,          0.00061052,             0.99726,             0.99952,             0.99439,             0.94818,           0.0064469,           0.0021381,          0.00027085,            0.001486,            0.001486,            0.001486
                  88,           0.0093047,           0.0033945,          0.00059411,             0.99725,             0.99945,              0.9944,             0.94835,           0.0064348,           0.0021328,          0.00026531,            0.001387,            0.001387,            0.001387
                  89,           0.0092817,           0.0034422,          0.00061276,             0.99735,             0.99953,             0.99441,             0.94844,           0.0064235,           0.0021279,          0.00025984,            0.001288,            0.001288,            0.001288
                  90,           0.0091597,            0.003298,          0.00049397,             0.99734,             0.99956,             0.99441,             0.94827,           0.0064135,           0.0021236,           0.0002544,            0.001189,            0.001189,            0.001189
                  91,           0.0091848,           0.0033504,          0.00061648,             0.99734,             0.99957,             0.99441,             0.94856,           0.0064041,           0.0021198,          0.00024928,             0.00109,             0.00109,             0.00109
                  92,           0.0090188,            0.003311,          0.00048496,             0.99733,             0.99958,             0.99443,             0.94889,           0.0063953,           0.0021156,          0.00024385,            0.000991,            0.000991,            0.000991
                  93,           0.0089114,           0.0033039,           0.0004355,             0.99734,             0.99965,             0.99444,             0.94915,           0.0063874,           0.0021117,          0.00023839,            0.000892,            0.000892,            0.000892
                  94,           0.0088416,           0.0032857,          0.00046999,             0.99734,             0.99965,             0.99443,             0.94957,           0.0063802,            0.002108,          0.00023313,            0.000793,            0.000793,            0.000793
                  95,           0.0087371,           0.0032401,          0.00041521,             0.99734,             0.99966,             0.99444,             0.94974,           0.0063727,           0.0021048,            0.000228,            0.000694,            0.000694,            0.000694
                  96,           0.0087215,           0.0032295,          0.00047421,             0.99735,             0.99967,             0.99445,              0.9499,           0.0063651,           0.0021014,          0.00022312,            0.000595,            0.000595,            0.000595
                  97,           0.0085786,           0.0031781,          0.00041427,             0.99736,             0.99968,             0.99445,             0.95028,           0.0063585,           0.0020982,          0.00021839,            0.000496,            0.000496,            0.000496
                  98,           0.0085488,           0.0031319,          0.00044216,             0.99728,              0.9997,             0.99444,             0.95022,           0.0063517,           0.0020952,          0.00021364,            0.000397,            0.000397,            0.000397
                  99,           0.0084203,           0.0031572,          0.00043485,             0.99729,              0.9997,             0.99444,             0.95017,           0.0063458,           0.0020923,          0.00020897,            0.000298,            0.000298,            0.000298
